"Rank","Name","Symbol","marketcap","price (USD)","country"
"191","goeasy","GSY.TO","1337432957","80.85","Canada"
"192","StorageVault Canada","SVI.TO","1330644895","3.52","Canada"
"193","Westshore Terminals Investment","WTE.TO","1298207875","20.77","Canada"
"194","Headwater Exploration","HWX.TO","1263338978","5.36","Canada"
"195","Andlauer Healthcare Group","AND.TO","1256087286","29.96","Canada"
"196","Docebo","DCBO","1248626688","38.94","Canada"
"197","The North West Company","NWC.TO","1243997218","26.13","Canada"
"198","Orla Mining","ORLA","1235427072","3.93","Canada"
"199","Enghouse Systems","ENGH.TO","1218095234","22.04","Canada"
"200","International Petroleum","IPCO.TO","1216200944","9.4","Canada"
"201","Cargojet","CJT.TO","1182906456","68.74","Canada"
"202","Aurinia Pharmaceuticals","AUPH","1163152384","8.11","Canada"
"203","Dundee Precious Metals","DPM.TO","1160000260","6.23","Canada"
"204","Advantage Energy","AAV.TO","1152705482","6.87","Canada"
"205","Centerra Gold","CGAU","1129743616","5.19","Canada"
"206","Trisura Group","TSU.TO","1122094098","23.66","Canada"
"207","Africa Oil","AOI.TO","1101446297","2.38","Canada"
"208","MAG Silver","MAG","1079984512","10.46","Canada"
"209","Ballard Power Systems","BLDP","1078314240","3.61","Canada"
"210","Imax Corp","IMAX","1056898944","19.35","Canada"
"211","Iamgold","IAG","1045278208","2.17","Canada"
"212","MTY Food Group","MTY.TO","1027870303","42.1","Canada"
"213","K92 Mining","KNT.TO","1007184150","4.3","Canada"
"214","NorthWest Healthcare Properties REIT","NWH-UN.TO","1006472229","4.11","Canada"
"215","Laurentian Bank of Canada","LB.TO","990627577","22.74","Canada"
"216","Cymbria","CYB.TO","982965948","43.32","Canada"
"217","Seabridge Gold","SA","935651136","11.28","Canada"
"218","Precision Drilling Corporation","PDS","929133760","68.28","Canada"
"219","Patriot Battery Metals","PMET.V","888080326","8","Canada"
"220","Badger Infrastructure Solutions","BDGI.TO","885999864","25.7","Canada"
"221","Mullen Group","MTL.TO","875783822","9.87","Canada"
"222","Cardinal Energy","CJ.TO","867793220","5.47","Canada"
"223","Clairvest Group","CVG.TO","862515647","57.41","Canada"
"224","Fortuna Silver Mines","FSM","861152576","2.81","Canada"
"225","Sprott Inc","SII","851925440","32.84","Canada"
"226","dentalcorp","DNTL.TO","849916970","4.52","Canada"
"227","Cronos Group","CRON","838593728","2.18","Canada"
"228","Morguard","MRC.TO","820274511","75.86","Canada"
"229","Wesdome Gold Mines","WDO.TO","816552691","5.48","Canada"
"230","Jamieson Wellness","JWEL.TO","774407102","18.42","Canada"
"231","Transcontinental","TCL-A.TO","773212044","8.91","Canada"
"232","New Found Gold","NFGC","760511680","4.23","Canada"
"233","Interfor","IFP.TO","758522489","14.74","Canada"
"234","Telesat","TSAT","745353920","14.78","Canada"
"235","Enerflex","EFXT","721010752","5.82","Canada"
"236","Algoma Steel","ASTL","718855808","6.93","Canada"
"237","Canopy Growth","CGC","716626624","0.9429","Canada"
